Name,Type,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total Stats,Legendary,Mythical
Bulbasaur,"['grass', 'poison']",45,49,49,65,65,45,318,False,False
Ivysaur,"['grass', 'poison']",60,62,63,80,80,60,405,False,False
Venusaur,"['grass', 'poison']",80,82,83,100,100,80,525,False,False
Charmander,['fire'],39,52,43,60,50,65,309,False,False
Charmeleon,['fire'],58,64,58,80,65,80,405,False,False
Charizard,"['fire', 'flying']",78,84,78,109,85,100,534,False,False
Squirtle,['water'],44,48,65,50,64,43,314,False,False
Wartortle,['water'],59,63,80,65,80,58,405,False,False
Blastoise,['water'],79,83,100,85,105,78,530,False,False
Caterpie,['bug'],45,30,35,20,20,45,195,False,False
Metapod,['bug'],50,20,55,25,25,30,205,False,False
Butterfree,"['bug', 'flying']",60,45,50,90,80,70,395,False,False
Weedle,"['bug', 'poison']",40,35,30,20,20,50,195,False,False
Kakuna,"['bug', 'poison']",45,25,50,25,25,35,205,False,False
Beedrill,"['bug', 'poison']",65,90,40,45,80,75,395,False,False
Pidgey,"['normal', 'flying']",40,45,40,35,35,56,251,False,False
Pidgeotto,"['normal', 'flying']",63,60,55,50,50,71,349,False,False
Pidgeot,"['normal', 'flying']",83,80,75,70,70,101,479,False,False
Rattata,['normal'],30,56,35,25,35,72,253,False,False
Raticate,['normal'],55,81,60,50,70,97,413,False,False
Spearow,"['normal', 'flying']",40,60,30,31,31,70,262,False,False
Fearow,"['normal', 'flying']",65,90,65,61,61,100,442,False,False
Ekans,['poison'],35,60,44,40,54,55,288,False,False
Arbok,['poison'],60,95,69,65,79,80,448,False,False
Pikachu,['electric'],35,55,40,50,50,90,320,False,False
Raichu,['electric'],60,90,55,90,80,110,485,False,False
Sandshrew,['ground'],50,75,85,20,30,40,300,False,False
Sandslash,['ground'],75,100,110,45,55,65,450,False,False
Nidoran-f,['poison'],55,47,52,40,40,41,275,False,False
Nidorina,['poison'],70,62,67,55,55,56,365,False,False
Nidoqueen,"['poison', 'ground']",90,92,87,75,85,76,505,False,False
Nidoran-m,['poison'],46,57,40,40,40,50,273,False,False
Nidorino,['poison'],61,72,57,55,55,65,365,False,False
Nidoking,"['poison', 'ground']",81,102,77,85,75,85,505,False,False
Clefairy,['fairy'],70,45,48,60,65,35,323,False,False
Clefable,['fairy'],95,70,73,95,90,60,483,False,False
Vulpix,['fire'],38,41,40,50,65,65,299,False,False
Ninetales,['fire'],73,76,75,81,100,100,505,False,False
Jigglypuff,"['normal', 'fairy']",115,45,20,45,25,20,270,False,False
